Code,Description
AB,Acetabularia spp.
AC,Algae: calcareous
AD,Algae: Drift
AF,Algae: Floating Mat
AG,Algae: Filamentous green
AM,Algae: Mixed
AR,Algae: Filamentous red
AT,Acanthophora spp.
AU,Algae: Unknown
AV,Floating aquatic vegetation
BA,Batophora spp.
BR,Bryozoans
BV,Bivalves: non-commercial bivalves
CA,Caulerpa spp.
CG,Corals: Gorgonian
CH,Crabs: Horseshoe
CI,Crabs: Spider
CL,Clay
CM,Crabs: Mixed
CO,Corals: Hard
CP,Crabs: portunid
CQ,Crab Traps
CS,Grasses: Cattails/Marsh
CT,Ctenophores
DL,Dapis/Lyngbya spp. (Cyanobacteria)
DT,Detritus
DW,Duck Weed
EM,Egg mass: gelatinous
ES,Egg cases: snail
FM,Freshwater mussel
FN,"Fruits and/or Nuts (citrus, coconuts, acorns, etc.)"
FT,Freshwater turtles
GA,Gastropods
GM,Grasses: Mixed
GR,Gracilaria spp.
GU,Grasses: Unknown
HA,Halodule spp.
HC,Halophila decipiens (paddle grass)
HD,Hydrilla spp
HE,Halophila engelmanii  (star grass)
HI,Halophila spp.
HJ,Halophila johnsonii
HM,Halimeda spp.
HY,Hyacinth
JF,Jellyfish
JU,Juncus spp.
LA,Laurencia spp
LL,Leaf Litter
LO,Logs
MI,Mixed Invertebrates
MK,Muskgrass
MM,Man-made objects other than crab traps
MS,Mangrove seeds/propogules
MU,Mud
MY,Myriophyllum spp.
NJ,Najas spp.  (busy pond weed)
NM,Clams (not Mercenaria mercenaria)
NO,None
NU,Nudibranch/Seahares
OC,Oil Contaminated sample
OY,Oysters
PA,Sea Pansie
PC,Pine Cones
PE,Penicillus spp. or Rhipocephalus spp.
PN,Pine Needles
PO,Potamogeton spp. (pond weed)
PR,Palm Root
PT,Peat
PV,Perna viridis (Asian green mussel)
PW,Polychaete worms
QH,Quohogs
RO,Rocks
RU,Ruppia spp.
SA,Sand
SB,Sea Biscuits
SC,Sea Cucumbers
SD,Sand Dollars
SF,Starfish
SG,Sargassum spp.
SH,Shell
SN,Spartina spp.
SP,Sponges
SQ,Squid
SR,Shrimp; noncommercial
ST,Sticks and branches
SY,Syringodium spp.
TA,Tubes; amphipod
TD,Tadpoles
TH,Thalassia spp.
TU,Tunicates
UL,Ulva spp.
UN,Unknown
UR,Sea Urchins
UU,Unknown
VA,Valisneria spp.
WR,Algal mat (Wrack)
WT,Worm Tubes
