NODCCODE,Scientificname,Commonname
0000000000,No gear set,.
0000000001,Unreadable Camera Set,.
0000000002,Bait Lost (No Fish; passive H&L),.
0000000003,Bait Remain (No Fish; passive H&L),.
0000000004,No Bait (No Fish; passive H&L),.
0000000005,Hook Lost (No Fish; passive H&L),.
0000000006,Gear lost,.
1111000000,Non-standard work up,.
3737040300,Stomolophus spp.,Cannonball Jellyfish
3737040301,Stomolophus meleagris,Cannonball Jellyfish
5124000000,Anaspidea spp.,Sea Hare
5509050000,Pectinidae spp.,Scallops
5509051200,Argopecten spp.,Scallops
5509051201,Argopecten gibbus,Atlantic Calico Scallop
5509051202,Argopecten irradians,Bay Scallop
5509051203,Argopecten nucleus,Nucleus Scallop
5515470000,Veneridae spp.,.
5515471100,Mercenaria spp.,.
5515471101,Mercenaria mercenaria,Northern Quahog
5515471102,Mercenaria campechiensis,Southern Quahog
5706010000,Loliginidae spp.,Squid
5706010100,Loligo spp.,Squid
5708010200,Octopus spp.,Octopus
5802010000,Limulidae spp.,.
5802010100,Limulus spp.,.
5802010101,Limulus polyphemus,Horseshoe Crab
6177010000,Penaeidae spp.,Penaeid Shrimps
6177010100,Farfantepenaeus spp.,Commercial Shrimps
6177010101,Farfantepenaeus aztecus,Brown Shrimp
6177010102,Farfantepenaeus duorarum,Pink Shrimp
6177010103,Litopenaeus setiferus,White Shrimp
6177010104,Farfantepenaeus brasiliensis,Caribbean Brown Shrimp
6177010120,Penaeus monodon,Giant Tiger Prawn
6177010200,Rimapenaeus spp.,.
6177010201,Rimapenaeus constrictus,Roughneck Shrimp
6177010202,Rimapenaeus similis,Yellow Roughneck Shrimp
6177010700,Xiphopenaeus spp.,Seabob
6177010701,Xiphopenaeus kroyeri,Atlantic Seabob
6177040000,Sicyoniidae spp.,.
6177040100,Sicyonia spp.,Rock Shrimp
6177040101,Sicyonia brevirostris,Rock Shrimp
6177040102,Sicyonia dorsalis,Lesser Rock Shrimp
6177040103,Sicyonia typica,Kinglet Rock Shrimp
6177040104,Sicyonia laevigata,Hardback
6177040106,Sicyonia stimpsoni,Eyespot Rock Shrimp
6177040107,Sicyonia parri,.
6179110000,Palaemonidae spp.,.
6179110100,Leander spp.,.
6179110101,Leander tenuicornis,Brown Grass Shrimp
6179110105,Leander paulensis,Red-algae Shrimp
6179110200,Macrobrachium spp.,Prawns
6179110201,Macrobrachium ohione,Ohio Shrimp
6179110300,Palaemonetes spp.,Grass Shrimp
6179110301,Palaemonetes intermedius,Brackish Grass Shrimp
6179110302,Palaemonetes paludosus,Eastern Grass Shrimp
6179110303,Palaemonetes pugio,Daggerblade Grass Shrimp
6179110304,Palaemonetes vulgaris,Marsh Grass Shrimp
6179110400,Periclimenes spp.,.
6179110401,Periclimenes americanus,American Grass Shrimp
6179110403,Periclimenes longicaudatus,Longtail Grass Shrimp
6179110800,Palaemon spp.,.
6179110803,Palaemon floridanus,Florida Grass Shrimp
6179111300,Brachycarpus spp.,.
6179111301,Brachycarpus biunguiculatus,Twoclaw Shrimp
6179140000,Alpheidae spp.,Snapping Shrimp
6179150000,Ogyrididae spp.,Longeye Shrimps
6179150100,Ogyrides spp.,Longeye Shrimps
6179150101,Ogyrides alphaerostris,Estuarine Longeye Shrimp
6179160000,Hippolytidae spp.,.
6179160100,Hippolyte spp.,.
6179160104,Hippolyte zostericola,Zostera Shrimp
6179160600,Latreutes spp.,.
6179160602,Latreutes parvulus,Sargassum Shrimp
6179161100,Lysmata spp.,.
6179161101,Lysmata wurdemanni,Peppermint Shrimp
6179161103,Lysmata rathbunae,Rathbun Cleaner Shrimp
6179161109,Lysmata amboinensis,Scarlet Cleaner Shrimp
6179161200,Tozeuma spp.,Arrow Shrimp
6179161201,Tozeuma carolinense,Arrow Shrimp
6179161400,Thor spp.,.
6179161402,Thor manningi,Manning Grass Shrimp
6179161404,Thor dobkini,Squat Grass Shrimp
6179170000,Processidae spp.,.
6179170300,Ambidexter spp.,.
6179170301,Ambidexter symmetricus,.
6182010000,Palinuridae spp.,.
6182010100,Panulirus spp.,.
6182010101,Panulirus argus,Spiny Lobster
6182010104,Panulirus guttatus,Spotted Spiny Lobster
6182010105,Panulirus laevicauda,Smoothtail Spiny Lobster
6182020000,Scyllaridae spp.,.
6182020100,Scyllarus spp.,.
6182020101,Scyllarus depressus,Scaled Slipper Lobster
6182020102,Scyllarus chacei,Chace Slipper Lobster
6182020104,Scyllarus americanus,American Slipper Lobster
6182020105,Scyllarus faxoni,.
6182020200,Scyllarides spp.,.
6182020202,Scyllarides nodifer,Ridged Slipper Lobster
6182020203,Scyllarides aequinoctialis,Spanish Slipper Lobster
6182020300,Parribacus spp.,.
6182020301,Parribacus antarcticus,Sculptured Mitten Lobster
6186020000,Calappidae spp.,Box Crabs
6186020100,Calappa spp.,.
6186020101,Calappa flammea,Flame Box Crab
6186020200,Hepatus spp.,Box Crabs
6186020201,Hepatus epheliticus,Calico Box Crab
6187012400,Stenocionops spp.,.
6.18701E+11,Stenocionops furcatus coelatus,Furcate Spider Crab
6187012402,Stenocionops spinimanus,Prickly Spider Crab
6189010000,Portunidae spp.,Swimming Crabs
6189010100,Arenaeus spp.,.
6189010101,Arenaeus cribrarius,Speckled Swimming Crab
6189010300,Callinectes spp.,.
6189010301,Callinectes sapidus,Blue Crab
6189010302,Callinectes similis,Lesser Blue Crab
6189010303,Callinectes danae,Dana Swimming Crab
6189010304,Callinectes ornatus,Shelligs
6189010308,Callinectes bocourti,Bocourt Swimming Crab
6189010309,Callinectes exasperatus,Rugose Swimming Crab
6189010310,Callinectes larvatus,Masked Swimming Crab
6189010600,Portunus spp.,Portunus Crabs
6189010601,Portunus gibbesii,Iridescent Swimming Crab
6189010604,Portunus spinimanus,Blotched Swimming Crab
6189011100,Charybdis spp.,.
6189011101,Charybdis hellerii,Spiny Hands
6189020000,Xanthidae spp.,Mud Crabs
6189021300,Menippe spp.,Stone Crab
6189021301,Menippe mercenaria,Florida Stone Crab
6189021302,Menippe adina,Gulf Stone Crab
6189021303,Menippe nodifrons,Cuban Stone Crab
6189070000,Glyptograpsidae spp.,.
6189071700,Platychirograpsus spp.,Saber Crab
6189071701,Platychirograpsus spectabilis,Saber Crab
6191010000,Squillidae spp.,.
6191010100,Squilla spp.,Mantis Shrimp
6191010101,Squilla empusa,Rough Mantis Shrimp
7815050300,Guavina spp.,Guavinas
8111060000,Caproidae spp.,Boarfishes
8155040000,Mellitidae spp.,Sand Dollars
8500010100,Amphioxus spp.,Lancelet
8603010300,Petromyzon spp.,.
8603010301,Petromyzon marinus,Sea Lamprey
8603010400,Ichthyomyzon spp.,.
8603010404,Ichthyomyzon gagei,Southern Brook Lamprey
8705020000,Hexanchidae spp.,Cow Sharks
8705020100,Hexanchus spp.,.
8705020101,Hexanchus griseus,Bluntnose Sixgill Shark
8705020103,Hexanchus nakamurai,Bigeye Sixgill Shark
8705020300,Heptranchias spp.,.
8705020301,Heptranchias perlo,Sharpnose Sevengill Shark
8707000000,Carcharhiniformes spp.,Unidentified Ground Shark Species
8707010000,Rhincodontidae spp.,whale sharks
8707010100,Rhincodon spp.,Whale sharks
8707010101,Rhincodon typus,whale shark
8707030000,Odontaspididae spp.,.
8707030200,Carcharias spp.,.
8707030202,Carcharias taurus,Sand Tiger Shark
8707040000,Lamnidae spp.,.
8707040100,Carcharodon spp.,.
8707040101,Carcharodon carcharias,White Shark
8707040400,Alopias spp.,.
8707040401,Alopias vulpinus,Common Thresher Shark
